store,beta,r2
1204.0,-0.0241063619939,0.388402957228
427.0,-0.0233671720503,0.456906405857
138.0,-0.0211318895529,0.28761449283
1285.0,-0.0206420495081,0.33011732677
271.0,-0.0192294644489,0.253494422722
141.0,-0.0160619223039,0.312128201674
1270.0,-0.0145207603096,0.261617781517
1030.0,-0.0142077593196,0.369800405734
1029.0,-0.0141391122172,0.464411805801
1265.0,-0.0131053102448,0.27790057665
1086.0,-0.0121202358535,0.326356237009
1007.0,-0.0111496350264,0.288837390231
416.0,-0.00956058660013,0.399650424618
173.0,-0.00904368316287,0.405528060087
153.0,-0.00872238975153,0.280766289428
993.0,-0.00854168988329,0.408461632048
1184.0,-0.00853816809407,0.562552674246
1020.0,-0.00834083091006,0.33073364294
698.0,-0.00757826380843,0.375973295265
37.0,-0.00725031318332,0.470267211353
737.0,-0.00718783588869,0.284831461283
25.0,-0.00697171647926,0.33855076318
185.0,-0.00693474282508,0.492840664455
1010.0,-0.00578480728588,0.253156853721
198.0,-0.00574243118345,0.313170815717
1253.0,-0.00555420567248,0.366942528835
1133.0,-0.00536204698537,0.380772271075
1180.0,-0.00531224391216,0.543750784151
1166.0,-0.00499270642112,0.525953922199
1092.0,-0.0047263217648,0.375928907352
1049.0,-0.00470399367671,0.525260418977
624.0,-0.00467686916467,0.502911860026
1198.0,-0.00458694979121,0.285951444211
701.0,-0.00432771830044,0.361062197614
957.0,-0.00431320333295,0.401845424079
1169.0,-0.00378100525932,0.439052999672
748.0,-0.00375411425627,0.179810606543
998.0,-0.00368488364987,0.412587758381
103.0,-0.00346587438721,0.507665159803
429.0,-0.00280904031569,0.316050749988
1031.0,-0.00268639554575,0.513083455114
456.0,-0.00260257202073,0.330355022465
995.0,-0.00253151922667,0.573287002887
489.0,-0.00238757693233,0.464423268539
366.0,-0.00231735560989,0.30403356365
487.0,-0.00221133108869,0.45397101123
996.0,-0.0021050191551,0.411114534445
1199.0,-0.0020936680751,0.181206464062
1095.0,-0.00196128779852,0.213797384869
143.0,-0.00189143433169,0.526462050273
455.0,-0.00176543595443,0.370676900192
